mode: set
trip-route/services/utils/file.go:8.34,10.16 2 1
trip-route/services/utils/file.go:13.2,16.16 3 1
trip-route/services/utils/file.go:19.2,22.16 3 1
trip-route/services/utils/file.go:25.2,25.20 1 1
trip-route/services/utils/file.go:10.16,12.3 1 1
trip-route/services/utils/file.go:16.16,18.3 1 1
trip-route/services/utils/file.go:22.16,24.3 1 0
trip-route/services/utils/file.go:28.39,30.24 2 1
trip-route/services/utils/file.go:33.2,33.22 1 1
trip-route/services/utils/file.go:30.24,32.3 1 1
trip-route/services/utils/string.go:9.52,11.2 1 1
trip-route/services/utils/string.go:13.61,14.38 1 1
trip-route/services/utils/string.go:18.2,21.29 3 1
trip-route/services/utils/string.go:28.2,28.13 1 1
trip-route/services/utils/string.go:14.38,16.3 1 1
trip-route/services/utils/string.go:21.29,23.41 2 1
trip-route/services/utils/string.go:23.41,25.4 1 1
trip-route/services/utils/string.go:31.38,33.2 1 1
